Sector,Metric,count,mean,median,std,min,max,trimmed_mean_5%
Financial ,MdAPE (%),38,29.1026938119818,27.396823039028888,14.573167816939304,6.6705117912683605,58.281312628314616,28.91529278988126
Financial ,sMAPE (%),38,32.627856199255895,28.7478846475085,16.09865844777851,9.18833275737122,75.27047224647387,32.094436960218864
Financial ,Accuracy (%),38,72.63608795171999,71.80824542586163,10.890744126245492,46.66019089041418,91.2309210298893,72.84111750680715
Healthcare,RMSE,30,4568.616801597164,1518.8258630332089,6441.489946675556,85.8100355065676,22882.90366609622,4074.6353695111493
Healthcare,MAE,30,3938.5694230445524,1239.761472168333,5593.300086876699,78.04381210102636,19423.685675300236,3523.4054715691173
Healthcare,NRMSE,30,0.22075984282234953,0.17433440637858233,0.17803898000686277,0.049836701638239424,0.9224445443607837,0.20180407280969506
Healthcare,MAPE (%),30,18.294003894746133,14.503459186980573,16.068820583551357,4.180981909793426,86.61616060737549,16.357963368757684
Healthcare,MdAPE (%),30,18.263782272344447,12.834222076714592,18.439088409698225,3.4138295316833793,97.99841820378799,15.946472158387929
Healthcare,sMAPE (%),30,18.53124398942147,15.54886804152083,12.444490472287598,4.170414128999294,58.84291898832377,17.60442809161861
Healthcare,Accuracy (%),30,81.70599610525387,85.49654081301944,16.068820583551357,13.383839392624509,95.81901809020657,83.64203663124233
Industrials,RMSE,35,1671.0199631840762,1031.7771058965204,1774.4623459712006,114.69965641175494,6714.147831757294,1565.3591279779885
Industrials,MAE,35,1458.7784321469198,896.7427734171868,1545.2515752186002,89.46459964659304,5854.855270471101,1367.0583410613485
Industrials,NRMSE,35,0.2070923424672349,0.20828577934560596,0.1264311493739302,0.05253740216734835,0.6701736826660367,0.19774305762181324
Industrials,MAPE (%),35,18.206936568145316,18.14313934821833,12.706346494214765,3.997106724372042,67.1557109482214,17.154241279166442
Industrials,MdAPE (%),35,19.147500091140262,18.138715474475124,13.80550807149911,3.3137140062779875,69.39777447495297,18.104576203293277
Industrials,sMAPE (%),35,19.97324154874973,20.05522829326139,16.494571728326367,4.111673245271258,101.7136068956111,17.97691436561691
Industrials,Accuracy (%),35,81.7930634318547,81.85686065178167,12.706346494214765,32.8442890517786,96.00289327562795,82.84575872083356
Information Technology,RMSE,23,3406.9649912933824,1058.6671553011186,5469.661554141503,91.60752415596522,19693.746648587236,2789.2781250954577
Information Technology,MAE,23,2697.7100509517754,982.5676678368152,4272.077985003927,75.35258935304678,16131.206892731456,2182.893889990777
Information Technology,NRMSE,23,0.2951428789508701,0.2538603759593664,0.283608839475744,0.05754241467083242,1.458040027288608,0.25108113209097954
Information Technology,MAPE (%),23,22.516006782063215,21.712946745294463,12.686497319905277,4.6529750115160775,48.2371993910353,22.141808646900124
Information Technology,MdAPE (%),23,21.312492475115178,20.15937023548092,13.44892397759976,4.772689581013631,56.76301518626651,20.41198200763662
Information Technology,sMAPE (%),23,24.553061511335144,22.290231106228187,17.254439462246772,4.765461258766928,76.16794975967288,23.037476368679457
Information Technology,Accuracy (%),23,77.48399321793677,78.28705325470554,12.686497319905277,51.7628006089647,95.34702498848392,77.85819135309988
Materials,RMSE,10,874.4261997792128,737.8462690908063,562.2396681747394,271.6361002271576,2284.2551311952952,874.4261997792128
Materials,MAE,10,757.8065159809748,695.3740753191466,464.2633731109133,199.45985012080425,1891.3218098686636,757.806515980975
Materials,NRMSE,10,0.21600259458463839,0.21192873513828747,0.09984062005339356,0.08426209510548727,0.36606438614471726,0.21600259458463844
Materials,MAPE (%),10,17.8020804881344,18.34444133478021,8.17207961823837,7.024855249040626,31.37650122061599,17.8020804881344
Materials,MdAPE (%),10,16.127322630635028,14.894719918988596,9.639037536358366,4.011453317471777,33.79608237230378,16.127322630635028
Materials,sMAPE (%),10,20.092645794891258,20.795297737015733,10.343814790729407,7.2127618720627895,37.89043636145688,20.092645794891258
Materials,Accuracy (%),10,82.19791951186559,81.65555866521979,8.17207961823837,68.62349877938401,92.97514475095937,82.19791951186559
Real Estate,RMSE,5,356.47098695219887,266.3613525217875,235.08910728888682,116.16439895926307,733.2262837163703,356.47098695219887
Real Estate,MAE,5,295.8736940992895,247.6285748035816,197.95059535541182,105.55155714936396,632.3043047825805,295.87369409928954
Real Estate,NRMSE,5,0.23545040825125643,0.2121440978305278,0.08736416328808147,0.16194471135767585,0.38295297959139074,0.23545040825125643
Real Estate,MAPE (%),5,18.93041047383782,16.553789008085616,8.040094161553979,10.31816294389693,31.16296517018319,18.93041047383782
Real Estate,MdAPE (%),5,20.691956444899954,17.478588295740682,10.922345504114025,7.700980426172857,36.85204926019199,20.691956444899954
Real Estate,sMAPE (%),5,21.904641377881077,18.25883427072626,10.818059691277698,11.141370125977248,39.00119337534772,21.90464137788108
Real Estate,Accuracy (%),5,81.06958952616216,83.44621099191438,8.040094161553975,68.83703482981682,89.68183705610306,81.06958952616218
Utilities,RMSE,19,742.7719688005615,549.2443008389155,486.19338451318094,258.24965072050907,2096.8858025974746,742.7719688005616
Utilities,MAE,19,626.272448375145,478.97187491631496,433.29561731133964,184.80014476222394,1877.6036199384162,626.2724483751451
Utilities,NRMSE,19,0.20838197895900343,0.20267318359774142,0.053834995416516734,0.09863200986645021,0.3401826415635096,0.20838197895900343
Utilities,MAPE (%),19,16.111837301950356,16.301779942074916,5.272193039081509,7.032088880836139,30.141937873209706,16.111837301950356
Utilities,MdAPE (%),19,15.996461478370822,16.89838091534281,7.022426033245632,4.208529385308933,33.46953098284994,15.996461478370822
Utilities,sMAPE (%),19,17.915801549787954,18.06673753524951,6.504396300983079,7.401637552591343,35.79478723678239,17.915801549787954
Utilities,Accuracy (%),19,83.88816269804965,83.69822005792508,5.27219303908151,69.85806212679029,92.96791111916386,83.88816269804964
