Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
DHR,Healthcare,-0.7369566687270104,0.8369433354004974,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7567177500525488,0.01,6,0.347,0.463,0.574,0.739,3090.8253021541045,2846.540105237951,60.8925,45.0868,39.1075,1160.4363544393213,1017.0010479374934,14.7454,15.4732,85.2546,85,18,19
DIS,Communication Services,3.17195963759881,1.0,13,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,1.7193377286907334,0.01,6,0.347,0.463,0.574,0.739,2862.4322318619525,1941.110934984154,11.2879,12.4114,88.7121,7481.142686037522,7049.6715655249245,32.2506,39.1076,67.7494,85,18,19
DOV,Industrials,-1.8569725167875863,0.3525652476131846,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.5246642691821473,0.01,6,0.347,0.463,0.574,0.739,96.67572787409063,69.76857766645338,4.0443,3.9942,95.9557,308.14299530498454,294.54535357814666,14.4929,15.7159,85.5071,85,18,19
DTE,Utilities,-0.76460045238747,0.8292999555644984,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6339455037511408,0.01,6,0.347,0.463,0.574,0.739,770.8534597042949,692.03143122869,21.1347,24.1543,78.8653,1071.535125135517,817.0456329206356,19.341,22.6229,80.659,85,18,19
DUK,Utilities,-3.9114547125743866,0.0019521454559909444,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.2390090378108708,0.1,6,0.347,0.463,0.574,0.739,877.4025496504662,736.1419928814873,12.4231,12.5756,87.5769,1112.201758794787,961.868249336147,12.9306,14.0203,87.0694,85,18,19
ECL,Materials,-0.6607708147802837,0.856650853985903,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.7557447790631517,0.01,6,0.347,0.463,0.574,0.739,461.8546760514761,401.46092485017425,11.5524,12.4356,88.4476,838.9297865669656,752.6334127065076,19.9604,22.7005,80.0396,85,18,19
EIX,Utilities,-0.48285148691570506,0.8953196945181543,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.662346424535872,0.01,4,0.347,0.463,0.574,0.739,464.67189327282665,330.65295198144446,9.6595,10.3583,90.3405,882.6521929318501,792.5047108576053,18.5339,20.8611,81.4661,85,18,19
EMN,Materials,-1.3238229067391065,0.6182040653467352,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.572292395884652,0.01,6,0.347,0.463,0.574,0.739,182.00490868780702,146.81809647967196,6.2724,6.353,93.7276,406.712131138937,353.6997432825038,13.9542,15.3005,86.0458,85,18,19
EMR,Industrials,-2.0935287145531127,0.24712468733135423,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,0.5376187136149861,0.03319398342004816,6,0.347,0.463,0.574,0.739,635.7898344624432,536.4225391093951,12.2488,13.1664,87.7512,568.3675016809548,497.944244065409,11.9563,12.4202,88.0437,85,18,19
ES,Utilities,-0.025533717925122167,0.956368833405666,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.3797748751258114,0.01,6,0.347,0.463,0.574,0.739,171.23360309235204,144.98031844468275,6.85,6.9875,93.15,907.2437792535527,812.5490343771486,26.5825,31.2602,73.4175,85,18,19
ETN,Industrials,-0.12715689545155479,0.9466655189929118,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.7381193172362481,0.01,6,0.347,0.463,0.574,0.739,421.6195255541305,339.2688979790447,6.8723,6.8458,93.1277,1269.782964374533,1076.7895077811932,18.0574,20.4912,81.9426,85,18,19
ETR,Utilities,-3.027179014594234,0.032433004721483645,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.3412373992367164,0.01,4,0.347,0.463,0.574,0.739,174.61147900347382,133.78332434688454,5.0607,4.9287,94.9393,644.1595632697632,553.0414901832978,17.1493,19.1955,82.8507,85,18,19
EXC,Utilities,-1.603548433400646,0.48181074648323,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.4334798686054984,0.01,6,0.347,0.463,0.574,0.739,1497.8293036857285,1394.0050344213694,16.0415,17.6366,83.9585,2985.2154811301034,2853.987651210888,55.2117,42.1176,44.7883,85,18,19
F,Consumer Discretionary,-2.3317455490685948,0.16193368030008437,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.1758099916267413,0.1,5,0.347,0.463,0.574,0.739,4994.47529437598,2334.4791140380667,8.8635,6.9533,91.1365,9362.926703898973,7807.8760770835,17.8476,20.095,82.1524,85,18,19
FDX,Industrials,0.004249945541315176,0.9588821455477856,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.7505401060154768,0.01,6,0.347,0.463,0.574,0.739,2902.958539011115,2739.923964652805,16.2107,17.7854,83.7893,1709.3730652995666,1518.9390876896862,6.7445,6.8718,93.2555,85,18,19
FITB,Financial ,-0.8367958428970143,0.8080739620857176,7,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.1634872277539783,0.01,6,0.347,0.463,0.574,0.739,213.16730183786538,174.06483925619523,9.0625,9.364,90.9375,930.4035758517102,745.7427655458017,24.4892,29.8074,75.5108,85,18,19
GD,Industrials,-0.3895494873511371,0.9118290707815497,10,112,-3.4901313156261384,-2.8877122815688776,-2.5807296460459184,1.740508320838571,0.01,6,0.347,0.463,0.574,0.739,1796.8101441253198,1434.8879822295848,15.1987,17.1504,84.8013,1038.1108155740023,789.4063695592939,6.8871,7.1871,93.1129,85,18,19
