Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
DIS,Communication Services,3.1719596375988104,1.0,13,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,1.7193377286907334,0.01,6,0.347,0.463,0.574,0.739,2908.092690262661,1990.4777760625527,11.5846,12.772,88.4154,7498.168587003687,7017.534815401513,31.9886,38.8433,68.0114,85,18,19
DOV,Industrials,-1.856972516787587,0.3525652476131842,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.5246642691821473,0.01,6,0.347,0.463,0.574,0.739,97.73703991509592,68.51174759223188,4.0161,3.9175,95.9839,359.08877966356135,343.88154581893133,16.9242,18.611,83.0758,85,18,19
DTE,Utilities,-0.7646004523874708,0.8292999555644982,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6339455037511408,0.01,6,0.347,0.463,0.574,0.739,788.147665434356,723.1817893091111,22.2971,25.5199,77.7029,1088.1774235693504,838.6511538221353,19.9358,23.3603,80.0642,85,18,19
DUK,Utilities,-3.911454712574388,0.0019521454559909333,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.23900903781087082,0.1,6,0.347,0.463,0.574,0.739,976.0646222169871,829.6007494298321,14.1005,14.029,85.8995,996.2243569482104,847.9083671089604,11.4115,12.2277,88.5885,85,18,19
ECL,Materials,-0.6607708147802834,0.856650853985903,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.7557447790631517,0.01,6,0.347,0.463,0.574,0.739,328.95102814435086,277.3418131435761,8.5699,8.3121,91.4301,695.2231353749829,624.8350809364714,16.5879,18.4287,83.4121,85,18,19
EIX,Utilities,-0.4828514869157027,0.8953196945181547,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.662346424535872,0.01,4,0.347,0.463,0.574,0.739,512.9148953476293,357.7692416344307,10.2682,11.1691,89.7318,881.0343121300871,787.1754463415423,18.4542,20.8105,81.5458,85,18,19
EMN,Materials,-1.323822906739106,0.6182040653467353,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.5722923958846518,0.01,6,0.347,0.463,0.574,0.739,182.12136153319219,147.42822169079773,6.2979,6.3791,93.7021,414.09520119891425,363.0683494441045,14.3431,15.7442,85.6569,85,18,19
EMR,Industrials,-2.0935287145531123,0.2471246873313545,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,0.5376187136149861,0.03319398342004816,6,0.347,0.463,0.574,0.739,635.6303577849662,538.1397091309984,12.2992,13.2131,87.7008,569.4734113649026,498.83791991469843,11.9777,12.4435,88.0223,85,18,19
ES,Utilities,-0.025533717925122573,0.956368833405666,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.3797748751258114,0.01,6,0.347,0.463,0.574,0.739,156.68503465819308,136.3045210868377,6.6185,6.5706,93.3815,931.7716194902699,840.0790648963996,27.5532,32.539,72.4468,85,18,19
ETN,Industrials,-0.1271568954515545,0.946665518992912,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.7381193172362484,0.01,6,0.347,0.463,0.574,0.739,409.93075708879525,324.9258055494588,6.6358,6.5573,93.3642,1252.3338058512504,1056.8825638950937,17.7,20.0588,82.3,85,18,19
ETR,Utilities,-3.0271790145942323,0.03243300472148379,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.3412373992367164,0.01,4,0.347,0.463,0.574,0.739,170.20085519626448,133.16422264256693,5.0243,4.8952,94.9757,629.3364847512662,525.3857112652246,16.1727,18.0848,83.8273,85,18,19
EXC,Utilities,-1.6035484334006456,0.48181074648323036,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.4334798686054984,0.01,6,0.347,0.463,0.574,0.739,1440.2147521323786,1343.381561089062,15.4582,16.9259,84.5418,3055.235376133085,2940.865247083864,56.6581,43.1227,43.3419,85,18,19
F,Consumer Discretionary,-2.331745549068595,0.1619336803000842,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.1758099916267413,0.1,5,0.347,0.463,0.574,0.739,4939.582489355263,2446.250593240495,9.0186,7.2609,90.9814,7475.406059323451,6312.6053698698015,14.6119,15.9085,85.3881,85,18,19
FDX,Industrials,0.004249945541315489,0.9588821455477857,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.7505401060154764,0.01,6,0.347,0.463,0.574,0.739,2473.597504848523,2331.0014981163345,13.8093,14.9446,86.1907,3230.2156030708184,2683.4692904266244,12.1146,11.2873,87.8854,85,18,19
FITB,Financial ,-0.8367958428970141,0.8080739620857177,7,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.1634872277539783,0.01,6,0.347,0.463,0.574,0.739,204.77523708195733,165.90200869860402,8.6611,8.9141,91.3389,974.5717048193602,782.2436899214417,25.7008,31.6067,74.2992,85,18,19
