Ticker,Sector,RMSE,MAE,NRMSE,MAPE (%),MdAPE (%),sMAPE (%),Accuracy (%)
IP,Consumer Discretionary,1513.421368560152,1275.4990926202577,0.31727911290569205,26.2425876882313,23.222700876851714,29.080491982380032,73.7574123117687
KMB,Consumer Staples,381.96034955209507,365.40144552409686,0.0762395907289611,7.341373351888389,6.953294310964223,7.5955769762730245,92.6586266481116
KR,Consumer Staples,1730.7010623662065,1445.848430146152,0.050608253768238146,3.937220288443952,3.452229794875931,3.909642449467491,96.06277971155605
LMT,Industrials,2099.5676901385077,1921.1737551659812,0.12210338413134675,11.346356028691165,11.541827883262927,10.621961061439567,88.65364397130884
MRK,Healthcare,4329.083600285134,4116.446310218738,0.28793372798703915,27.07780621323954,29.907001365937553,31.721836015273354,72.92219378676046
MSI,Information Technology,799.2657207129951,705.7627528863477,0.33261161910653153,27.85550199139682,30.29753318055256,33.72874729943779,72.14449800860318
NSC,Industrials,503.50310012238054,477.27321562241724,0.16650234792406754,15.512385019169816,15.650508219828238,16.951147813036684,84.48761498083019
NOC,Industrials,780.0202493925029,704.6079626484918,0.07979746796854255,7.389699886009223,6.738500974963809,7.068260152214334,92.61030011399077
OXY,Energy,2749.4679618474133,2485.4737143130637,0.3879593568290412,32.29785557602148,29.767195068036497,39.36823288391435,67.70214442397852
PEP,Consumer Staples,5857.237139107641,4771.902156478311,0.2603100812900599,21.053123101235023,17.641603457149355,18.325061502812343,78.94687689876497
PFE,Healthcare,5908.476719066807,4678.828221735144,0.3326283127324666,23.033983529634142,24.574542056237025,25.205177112339804,76.96601647036586
PPG,Materials,590.8816492543798,450.8096076025669,0.13583486189755853,12.825841672577576,8.656622245975123,11.605258301762646,87.17415832742242
PG,Consumer Staples,1539.304525682883,1457.492326322637,0.07489439622842804,7.021830970613004,7.117806850854297,7.304164760871694,92.97816902938699
PEG,Utilities,400.645041093094,322.2985733858739,0.16253348523046413,12.147484545107423,8.396315247939901,12.346863343377223,87.85251545489258
RTX,Industrials,2904.707900508626,2432.0456771451636,0.15859720996498106,12.546593647026572,13.877859081147728,13.477619543295138,87.45340635297343
SPGI,Financial ,592.5567044824796,526.3409955725087,0.1910856834835471,16.126685998774644,19.356658752246638,17.91038852584682,83.87331400122535
SLB,Energy,2160.277823695633,1895.9448982169367,0.25996123028828316,22.24279300953266,26.229871222186784,25.874422494714207,77.75720699046734
SO,Utilities,1046.19639522402,872.1733303009394,0.15741745338910937,12.472213933020527,9.439568726703774,13.613560877263467,87.52778606697947
UNP,Industrials,770.4967198234195,736.6870444239622,0.12775604706075597,12.14697410517339,12.304984307943261,12.999662681044388,87.85302589482662
XEL,Utilities,487.4881639526444,401.35396914966935,0.14060806574924836,10.788974538856221,10.39871429828399,11.673525603143522,89.21102546114378
SHW,Materials,1007.605780783978,854.3216865184131,0.18729428246105395,14.973691674996164,14.53431289924515,13.617061596944982,85.02630832500384
CMI,Industrials,723.1602784980039,578.9979844852736,0.086059773711532,7.402176787833204,5.351610732862077,7.617654037629215,92.5978232121668
EMR,Industrials,1896.0195311068749,1825.0580534457479,0.46053425579472307,45.617465987091414,41.61668363093862,39.60175089642581,54.382534012908586
